ref_vol,aero_linked,jour_vol,time_en_air,sensor_data,etat_voyant
V01371793,CRJ700_0545,2024-07-06,2.5,"{'temp': '4.9°C', 'pressure': '1017.7 hPa', 'vibrations': '1.5358606296608341 m/s²'}",0
V03051146,E170_6246,2024-07-06,4.7,"{'temp': '5.9°C', 'pressure': '984.1 hPa', 'vibrations': '2.4274479932029616 m/s²'}",0
V06759153,A330_6979,2024-07-06,4.5,"{'temp': '-5.1°C', 'pressure': '975.6 hPa', 'vibrations': '2.8493694677458272 m/s²'}",0
V02421084,B747_3165,2024-07-06,4.7,"{'temp': '0.9°C', 'pressure': '1035.2 hPa', 'vibrations': '0.9348197040870199 m/s²'}",0
V08523276,E170_1544,2024-07-06,0.6,"{'temp': '-22.7°C', 'pressure': '932.4 hPa', 'vibrations': '0.2261792310433952 m/s²'}",1
V03466731,A380_2017,2024-07-06,0.6,"{'temp': '11.9°C', 'pressure': '991.3 hPa', 'vibrations': '1.9209531278840335 m/s²'}",0
V00728684,A350_3976,2024-07-06,6.0,"{'temp': '-10.0°C', 'pressure': '936.4 hPa', 'vibrations': '2.3462798659390294 m/s²'}",0
V03210876,E175_6729,2024-07-06,1.5,"{'temp': '-12.7°C', 'pressure': '884.2 hPa', 'vibrations': '4.5874552138682265 m/s²'}",1
V03584340,A350_5434,2024-07-06,4.5,"{'temp': '-0.4°C', 'pressure': '878.8 hPa', 'vibrations': '0.5373308552625838 m/s²'}",0
V09511494,CRJ900_4821,2024-07-06,7.4,"{'temp': '-19.2°C', 'pressure': '1028.9 hPa', 'vibrations': '3.723210577630323 m/s²'}",1
V02595145,E175_5586,2024-07-06,6.2,"{'temp': '22.0°C', 'pressure': '966.4 hPa', 'vibrations': '2.2399407627018113 m/s²'}",1
V06768185,E175_3327,2024-07-06,5.9,"{'temp': '-1.8°C', 'pressure': '922.9 hPa', 'vibrations': '2.0866542823106955 m/s²'}",0
V02655256,A320_6731,2024-07-06,3.2,"{'temp': '10.2°C', 'pressure': '981.9 hPa', 'vibrations': '2.3635103551768397 m/s²'}",0
V09190436,B737_0789,2024-07-06,4.5,"{'temp': '0.7°C', 'pressure': '969.8 hPa', 'vibrations': '2.083928796522022 m/s²'}",0
V04000594,CRJ900_6319,2024-07-06,7.1,"{'temp': '-8.3°C', 'pressure': '880.5 hPa', 'vibrations': '1.7242743253171866 m/s²'}",0
V04556974,B747_0472,2024-07-06,4.9,"{'temp': '5.7°C', 'pressure': '990.7 hPa', 'vibrations': '3.051072995959512 m/s²'}",0
V06171608,A350_0500,2024-07-06,8.7,"{'temp': '-9.3°C', 'pressure': '946.5 hPa', 'vibrations': '1.4123685005672781 m/s²'}",0
V06375464,E170_6353,2024-07-06,12.4,"{'temp': '-5.1°C', 'pressure': '994.1 hPa', 'vibrations': '3.161431087371826 m/s²'}",1
V05356179,E170_6420,2024-07-06,8.1,"{'temp': '0.7°C', 'pressure': '1005.0 hPa', 'vibrations': '4.5265847972763185 m/s²'}",0
V04129538,A380_6283,2024-07-06,7.6,"{'temp': '9.2°C', 'pressure': '1013.7 hPa', 'vibrations': '4.879304045614395 m/s²'}",0
V08427624,A380_0553,2024-07-06,4.1,"{'temp': '3.5°C', 'pressure': '1017.3 hPa', 'vibrations': '0.7654926189767242 m/s²'}",0
V01214028,CRJ900_3374,2024-07-06,8.8,"{'temp': '8.0°C', 'pressure': '1013.1 hPa', 'vibrations': '4.027623900738898 m/s²'}",0
V09890307,B757_4533,2024-07-06,3.5,"{'temp': '-1.8°C', 'pressure': '963.2 hPa', 'vibrations': '1.4734806468777628 m/s²'}",0
V09111605,A321_3033,2024-07-06,1.7,"{'temp': '-1.6°C', 'pressure': '991.9 hPa', 'vibrations': '4.183753800863064 m/s²'}",0
V07377535,A380_0178,2024-07-06,2.8,"{'temp': '10.7°C', 'pressure': '953.2 hPa', 'vibrations': '1.460740446445058 m/s²'}",0
V05895101,A350_6092,2024-07-06,5.6,"{'temp': '8.6°C', 'pressure': '953.8 hPa', 'vibrations': '1.300524575315825 m/s²'}",0
V03688615,B747_6747,2024-07-06,3.5,"{'temp': '-1.6°C', 'pressure': '988.0 hPa', 'vibrations': '0.34070917532014466 m/s²'}",0
V04877997,B777_3944,2024-07-06,6.3,"{'temp': '-0.9°C', 'pressure': '905.4 hPa', 'vibrations': '2.994928232275134 m/s²'}",0
V02721360,B777_5688,2024-07-06,6.7,"{'temp': '-4.9°C', 'pressure': '957.7 hPa', 'vibrations': '2.503649776782752 m/s²'}",0
V04794242,CRJ900_5500,2024-07-06,6.9,"{'temp': '8.9°C', 'pressure': '898.5 hPa', 'vibrations': '4.777642493146582 m/s²'}",0
V03662685,B737_0616,2024-07-06,1.0,"{'temp': '-16.7°C', 'pressure': '921.7 hPa', 'vibrations': '0.9473567929538029 m/s²'}",1
V03045540,E175_2945,2024-07-06,7.1,"{'temp': '2.9°C', 'pressure': '926.6 hPa', 'vibrations': '3.869722739427252 m/s²'}",0
V02605312,E170_1145,2024-07-06,4.5,"{'temp': '4.9°C', 'pressure': '897.9 hPa', 'vibrations': '4.421938774631529 m/s²'}",0
V07111176,A320_6924,2024-07-06,2.8,"{'temp': '7.5°C', 'pressure': '976.0 hPa', 'vibrations': '2.026776112951614 m/s²'}",0
V01491756,A340_4021,2024-07-06,3.3,"{'temp': '-3.9°C', 'pressure': '972.4 hPa', 'vibrations': '1.5942745957217124 m/s²'}",0
V08099314,A380_6924,2024-07-06,4.1,"{'temp': '17.5°C', 'pressure': '1007.6 hPa', 'vibrations': '0.11852095313797884 m/s²'}",0
V06173429,E170_3927,2024-07-06,1.6,"{'temp': '11.2°C', 'pressure': '910.2 hPa', 'vibrations': '3.204626285568118 m/s²'}",0
V01265448,B747_1988,2024-07-06,4.6,"{'temp': '-13.8°C', 'pressure': '1061.5 hPa', 'vibrations': '3.3850594700992005 m/s²'}",1
V05911972,B737_2975,2024-07-06,1.8,"{'temp': '14.7°C', 'pressure': '846.0 hPa', 'vibrations': '0.9420443115121879 m/s²'}",0
V08813827,B757_0697,2024-07-06,7.3,"{'temp': '12.9°C', 'pressure': '1008.0 hPa', 'vibrations': '2.290105552966959 m/s²'}",0
V03260519,A340_2827,2024-07-06,9.6,"{'temp': '-7.2°C', 'pressure': '874.5 hPa', 'vibrations': '2.27037460207211 m/s²'}",0
V07534272,E170_2583,2024-07-06,7.8,"{'temp': '1.0°C', 'pressure': '985.0 hPa', 'vibrations': '0.2446427971625903 m/s²'}",0
V09246367,A320_3521,2024-07-06,6.7,"{'temp': '-7.7°C', 'pressure': '1009.1 hPa', 'vibrations': '2.8773594218670553 m/s²'}",0
