ref_vol,aero_linked,jour_vol,time_en_air,sensor_data,etat_voyant
V07537130,B747_4824,2024-06-28,2.5,"{'temp': '17.9°C', 'pressure': '1001.3 hPa', 'vibrations': '2.89191492600386 m/s²'}",0
V03963455,B747_6800,2024-06-28,7.2,"{'temp': '8.6°C', 'pressure': '1041.2 hPa', 'vibrations': '2.43313972740384 m/s²'}",0
V05767634,B747_3165,2024-06-28,4.9,"{'temp': '-22.1°C', 'pressure': '930.4 hPa', 'vibrations': '4.488736832684973 m/s²'}",1
V01803259,A350_6305,2024-06-28,4.9,"{'temp': '-0.6°C', 'pressure': '874.2 hPa', 'vibrations': '3.3063273015293633 m/s²'}",0
V01962524,E175_6879,2024-06-28,3.4,"{'temp': '-20.1°C', 'pressure': '910.9 hPa', 'vibrations': '2.6620893974301367 m/s²'}",1
V06526448,CRJ700_2189,2024-06-28,2.0,"{'temp': '-0.4°C', 'pressure': '947.1 hPa', 'vibrations': '2.86337474180933 m/s²'}",0
V05805328,B747_0442,2024-06-28,5.4,"{'temp': '-1.7°C', 'pressure': '941.5 hPa', 'vibrations': '3.0832146955324053 m/s²'}",0
V07800957,A340_4021,2024-06-28,3.9,"{'temp': '8.4°C', 'pressure': '956.8 hPa', 'vibrations': '2.7060125870123852 m/s²'}",0
V05193263,A340_4633,2024-06-28,4.8,"{'temp': '-2.9°C', 'pressure': '919.5 hPa', 'vibrations': '2.4132472862720933 m/s²'}",0
V03231566,CRJ900_6738,2024-06-28,5.5,"{'temp': '-2.2°C', 'pressure': '957.6 hPa', 'vibrations': '2.3974341720720216 m/s²'}",0
V06840022,A330_2237,2024-06-28,8.5,"{'temp': '25.3°C', 'pressure': '954.0 hPa', 'vibrations': '3.3917862833064456 m/s²'}",1
V09907323,E170_1130,2024-06-28,3.9,"{'temp': '-10.8°C', 'pressure': '940.5 hPa', 'vibrations': '2.1160937052406243 m/s²'}",0
V01145711,E170_2943,2024-06-28,6.7,"{'temp': '12.6°C', 'pressure': '855.6 hPa', 'vibrations': '1.3519051170456358 m/s²'}",0
V09771027,A320_6924,2024-06-28,3.1,"{'temp': '-15.2°C', 'pressure': '960.2 hPa', 'vibrations': '1.7741137095749355 m/s²'}",1
V09413957,A321_3033,2024-06-28,10.6,"{'temp': '13.1°C', 'pressure': '905.9 hPa', 'vibrations': '1.8837411501178463 m/s²'}",0
V08002875,A330_3404,2024-06-28,6.2,"{'temp': '8.8°C', 'pressure': '956.2 hPa', 'vibrations': '0.24474692896254036 m/s²'}",0
V07360912,B777_5812,2024-06-28,8.5,"{'temp': '-15.6°C', 'pressure': '961.2 hPa', 'vibrations': '4.398583698619408 m/s²'}",1
V02132369,A321_1968,2024-06-28,2.9,"{'temp': '-2.1°C', 'pressure': '1012.7 hPa', 'vibrations': '3.773759168428205 m/s²'}",0
V07115695,CRJ700_6849,2024-06-28,3.5,"{'temp': '-6.1°C', 'pressure': '922.5 hPa', 'vibrations': '3.3254501109992667 m/s²'}",0
V03810630,E175_4558,2024-06-28,2.6,"{'temp': '-8.6°C', 'pressure': '985.7 hPa', 'vibrations': '1.4951139184598676 m/s²'}",0
V04953729,A380_4294,2024-06-28,3.5,"{'temp': '-13.5°C', 'pressure': '1009.8 hPa', 'vibrations': '4.154799796063752 m/s²'}",1
V02519436,B757_6092,2024-06-28,5.9,"{'temp': '3.8°C', 'pressure': '949.7 hPa', 'vibrations': '0.12873527469282053 m/s²'}",0
V01391087,B737_3924,2024-06-28,2.2,"{'temp': '-10.3°C', 'pressure': '934.2 hPa', 'vibrations': '4.890365356533834 m/s²'}",0
V02200876,B777_6740,2024-06-28,7.6,"{'temp': '4.0°C', 'pressure': '948.7 hPa', 'vibrations': '4.700973442371867 m/s²'}",0
V05687494,A380_0710,2024-06-28,4.6,"{'temp': '2.9°C', 'pressure': '930.3 hPa', 'vibrations': '4.408621008856827 m/s²'}",0
V02182544,A340_6943,2024-06-28,10.1,"{'temp': '12.5°C', 'pressure': '957.6 hPa', 'vibrations': '0.5606249243411815 m/s²'}",0
V00933209,E170_4783,2024-06-28,3.3,"{'temp': '1.4°C', 'pressure': '941.5 hPa', 'vibrations': '1.3317448527703784 m/s²'}",2
V07993346,B757_0697,2024-06-28,10.3,"{'temp': '-4.9°C', 'pressure': '1048.5 hPa', 'vibrations': '0.35235495085211344 m/s²'}",0
V07868503,E175_3843,2024-06-28,6.5,"{'temp': '-19.1°C', 'pressure': '863.6 hPa', 'vibrations': '4.145797965762739 m/s²'}",1
V00863394,E175_3327,2024-06-28,7.4,"{'temp': '-5.0°C', 'pressure': '965.5 hPa', 'vibrations': '2.014962189198921 m/s²'}",0
V03926752,A320_1884,2024-06-28,4.9,"{'temp': '-3.6°C', 'pressure': '890.5 hPa', 'vibrations': '4.071137367237925 m/s²'}",0
V00529283,B737_1256,2024-06-28,3.2,"{'temp': '8.0°C', 'pressure': '976.8 hPa', 'vibrations': '2.115572944942445 m/s²'}",0
V01601986,B747_4007,2024-06-28,8.1,"{'temp': '-12.1°C', 'pressure': '985.4 hPa', 'vibrations': '0.527479227761482 m/s²'}",1
V02210246,A320_2562,2024-06-28,6.1,"{'temp': '1.4°C', 'pressure': '951.8 hPa', 'vibrations': '0.0031467882426367 m/s²'}",0
V00005739,B747_4659,2024-06-28,8.1,"{'temp': '9.1°C', 'pressure': '1049.4 hPa', 'vibrations': '3.9202344417536135 m/s²'}",0
V03008104,E175_5586,2024-06-28,5.8,"{'temp': '-9.8°C', 'pressure': '953.6 hPa', 'vibrations': '4.479516070476562 m/s²'}",2
V02097738,A380_3155,2024-06-28,9.6,"{'temp': '-16.0°C', 'pressure': '974.1 hPa', 'vibrations': '4.214333401789311 m/s²'}",1
V04019460,A330_3411,2024-06-28,7.7,"{'temp': '-5.5°C', 'pressure': '965.7 hPa', 'vibrations': '0.5013168660500267 m/s²'}",0
V05560460,A320_5229,2024-06-28,2.8,"{'temp': '9.0°C', 'pressure': '988.7 hPa', 'vibrations': '0.7628946629920969 m/s²'}",0
V06512632,E175_1426,2024-06-28,3.0,"{'temp': '-5.9°C', 'pressure': '1011.8 hPa', 'vibrations': '2.4700316011378542 m/s²'}",0
V09735922,B767_2803,2024-06-28,4.0,"{'temp': '-9.2°C', 'pressure': '1025.8 hPa', 'vibrations': '1.1988744109280995 m/s²'}",0
V01783191,A321_0473,2024-06-28,6.3,"{'temp': '7.8°C', 'pressure': '943.7 hPa', 'vibrations': '1.8463066518994968 m/s²'}",0
V02779744,B747_5923,2024-06-28,6.8,"{'temp': '1.3°C', 'pressure': '875.0 hPa', 'vibrations': '0.4495811335306815 m/s²'}",0
V04028296,B757_0375,2024-06-28,2.9,"{'temp': '-11.1°C', 'pressure': '956.6 hPa', 'vibrations': '0.24399826987942186 m/s²'}",0
V07744523,A350_4789,2024-06-28,6.6,"{'temp': '9.0°C', 'pressure': '885.1 hPa', 'vibrations': '4.174271295008538 m/s²'}",0
V03916282,CRJ900_4042,2024-06-28,5.6,"{'temp': '9.9°C', 'pressure': '922.5 hPa', 'vibrations': '1.5970681286406725 m/s²'}",0
V01462507,A380_5199,2024-06-28,6.1,"{'temp': '7.8°C', 'pressure': '946.4 hPa', 'vibrations': '4.259903153812534 m/s²'}",0
V03345324,B737_1117,2024-06-28,8.4,"{'temp': '3.6°C', 'pressure': '932.6 hPa', 'vibrations': '3.7408931127342173 m/s²'}",0
V00588682,B747_2659,2024-06-28,4.8,"{'temp': '-13.8°C', 'pressure': '1006.0 hPa', 'vibrations': '3.801741879446551 m/s²'}",1
V05276018,CRJ900_5426,2024-06-28,3.5,"{'temp': '5.5°C', 'pressure': '970.0 hPa', 'vibrations': '2.926924514081286 m/s²'}",0
V01495883,CRJ700_1968,2024-06-28,5.2,"{'temp': '1.1°C', 'pressure': '985.3 hPa', 'vibrations': '2.5803274627290773 m/s²'}",0
V03517595,B737_4369,2024-06-28,8.1,"{'temp': '-7.9°C', 'pressure': '889.9 hPa', 'vibrations': '4.857361158196806 m/s²'}",0
V02742224,E170_3927,2024-06-28,5.9,"{'temp': '-4.6°C', 'pressure': '929.9 hPa', 'vibrations': '2.5020611751470714 m/s²'}",0
