ref_vol,aero_linked,jour_vol,time_en_air,sensor_data,etat_voyant
V03112597,CRJ700_6943,2024-07-12,5.3,"{'temp': '2.6°C', 'pressure': '892.9 hPa', 'vibrations': '4.782914455807728 m/s²'}",0
V02624399,A350_0441,2024-07-12,2.8,"{'temp': '10.5°C', 'pressure': '981.2 hPa', 'vibrations': '2.251853872106691 m/s²'}",0
V01703614,A320_6493,2024-07-12,8.3,"{'temp': '5.5°C', 'pressure': '940.9 hPa', 'vibrations': '2.306714363329326 m/s²'}",0
V03066216,B767_5422,2024-07-12,3.5,"{'temp': '9.7°C', 'pressure': '937.4 hPa', 'vibrations': '0.515835780276242 m/s²'}",0
V06427489,E175_3327,2024-07-12,8.5,"{'temp': '7.1°C', 'pressure': '979.3 hPa', 'vibrations': '0.012551113578155304 m/s²'}",0
V05002062,B757_1844,2024-07-12,1.4,"{'temp': '-1.1°C', 'pressure': '959.4 hPa', 'vibrations': '3.410524977456059 m/s²'}",0
V00507628,CRJ700_3699,2024-07-12,7.7,"{'temp': '-5.1°C', 'pressure': '954.6 hPa', 'vibrations': '2.7393255526049307 m/s²'}",0
V06476221,A330_2982,2024-07-12,0.6,"{'temp': '-22.0°C', 'pressure': '918.3 hPa', 'vibrations': '1.7884138297163688 m/s²'}",1
V07888069,CRJ900_6738,2024-07-12,4.1,"{'temp': '-6.1°C', 'pressure': '906.6 hPa', 'vibrations': '2.7285255555035013 m/s²'}",0
V06716944,A330_6095,2024-07-12,7.2,"{'temp': '9.2°C', 'pressure': '942.9 hPa', 'vibrations': '0.5802480985104963 m/s²'}",0
V02455871,CRJ700_0969,2024-07-12,3.8,"{'temp': '-1.1°C', 'pressure': '933.6 hPa', 'vibrations': '2.833146317951396 m/s²'}",0
V03176504,A350_1177,2024-07-12,3.5,"{'temp': '-10.5°C', 'pressure': '987.6 hPa', 'vibrations': '4.601953935761336 m/s²'}",0
V03637301,A350_4039,2024-07-12,1.7,"{'temp': '-8.5°C', 'pressure': '975.6 hPa', 'vibrations': '4.079007715091741 m/s²'}",0
V05976005,A330_5146,2024-07-12,2.6,"{'temp': '10.9°C', 'pressure': '946.5 hPa', 'vibrations': '1.5166860532767834 m/s²'}",0
V08593413,CRJ700_1788,2024-07-12,6.4,"{'temp': '-26.2°C', 'pressure': '981.7 hPa', 'vibrations': '0.9309525001462943 m/s²'}",1
V01771822,B737_0940,2024-07-12,4.0,"{'temp': '-25.2°C', 'pressure': '961.5 hPa', 'vibrations': '0.32543538108732617 m/s²'}",1
V06547061,A380_0178,2024-07-12,9.3,"{'temp': '-16.0°C', 'pressure': '936.7 hPa', 'vibrations': '2.749185760222628 m/s²'}",1
V02615658,B747_0442,2024-07-12,6.5,"{'temp': '9.4°C', 'pressure': '931.3 hPa', 'vibrations': '4.7049573380007965 m/s²'}",0
V05554760,A320_1884,2024-07-12,1.8,"{'temp': '-2.0°C', 'pressure': '953.3 hPa', 'vibrations': '4.74751027384846 m/s²'}",0
V03468176,E175_6879,2024-07-12,3.5,"{'temp': '-0.6°C', 'pressure': '995.6 hPa', 'vibrations': '1.750129656604265 m/s²'}",0
V03008555,A340_1505,2024-07-12,9.9,"{'temp': '-16.5°C', 'pressure': '975.5 hPa', 'vibrations': '2.399939833714882 m/s²'}",1
V04050564,A330_6573,2024-07-12,2.9,"{'temp': '-0.3°C', 'pressure': '945.4 hPa', 'vibrations': '2.7488129393394285 m/s²'}",0
V00986070,A340_4940,2024-07-12,5.5,"{'temp': '2.5°C', 'pressure': '1031.0 hPa', 'vibrations': '4.89736572241269 m/s²'}",0
V00470166,B747_1988,2024-07-12,0.8,"{'temp': '-8.3°C', 'pressure': '1010.2 hPa', 'vibrations': '2.712493599183017 m/s²'}",0
V08883912,A320_2497,2024-07-12,4.4,"{'temp': '1.3°C', 'pressure': '979.5 hPa', 'vibrations': '4.797699168613951 m/s²'}",0
