ref_vol,aero_linked,jour_vol,time_en_air,sensor_data,etat_voyant
V00610863,E175_2977,2024-07-08,8.4,"{'temp': '-6.2°C', 'pressure': '916.0 hPa', 'vibrations': '2.2192908649216605 m/s²'}",0
V03449344,A321_1458,2024-07-08,6.0,"{'temp': '-12.9°C', 'pressure': '966.0 hPa', 'vibrations': '0.9801537946758004 m/s²'}",1
V08338069,B777_5812,2024-07-08,4.9,"{'temp': '10.4°C', 'pressure': '932.2 hPa', 'vibrations': '4.822949541854621 m/s²'}",0
V01092714,B777_3000,2024-07-08,3.5,"{'temp': '10.2°C', 'pressure': '1013.5 hPa', 'vibrations': '2.8348363632518154 m/s²'}",0
V09081754,B737_0616,2024-07-08,0.8,"{'temp': '0.3°C', 'pressure': '1003.6 hPa', 'vibrations': '1.482671081361075 m/s²'}",0
V03570410,A321_0181,2024-07-08,6.4,"{'temp': '3.0°C', 'pressure': '1078.3 hPa', 'vibrations': '2.6739168680145244 m/s²'}",0
V07118252,B767_5422,2024-07-08,5.5,"{'temp': '15.0°C', 'pressure': '938.5 hPa', 'vibrations': '1.4815094846006422 m/s²'}",0
V06712918,E170_2583,2024-07-08,1.6,"{'temp': '-10.8°C', 'pressure': '1067.8 hPa', 'vibrations': '0.8414955662780843 m/s²'}",0
V07450783,B757_0697,2024-07-08,5.1,"{'temp': '-11.9°C', 'pressure': '964.0 hPa', 'vibrations': '0.9696663547726442 m/s²'}",0
V05310786,A350_2655,2024-07-08,2.8,"{'temp': '-2.6°C', 'pressure': '952.3 hPa', 'vibrations': '2.537817272722064 m/s²'}",0
V06932908,A350_1889,2024-07-08,8.8,"{'temp': '2.8°C', 'pressure': '935.5 hPa', 'vibrations': '1.4995978308499165 m/s²'}",0
V05425902,A321_3033,2024-07-08,6.4,"{'temp': '10.3°C', 'pressure': '1025.7 hPa', 'vibrations': '1.9693213024808003 m/s²'}",0
V08214181,B767_2803,2024-07-08,4.4,"{'temp': '2.5°C', 'pressure': '948.1 hPa', 'vibrations': '0.3236686694274332 m/s²'}",0
V01672224,CRJ900_1993,2024-07-08,3.3,"{'temp': '10.6°C', 'pressure': '897.3 hPa', 'vibrations': '2.39124808616358 m/s²'}",0
V09251860,E170_1145,2024-07-08,4.5,"{'temp': '-5.0°C', 'pressure': '1010.2 hPa', 'vibrations': '4.014378230763803 m/s²'}",0
V00793791,CRJ900_3749,2024-07-08,5.1,"{'temp': '-7.2°C', 'pressure': '955.9 hPa', 'vibrations': '2.504314013856904 m/s²'}",0
V04589813,A330_1199,2024-07-08,5.0,"{'temp': '5.0°C', 'pressure': '940.7 hPa', 'vibrations': '2.358590479850899 m/s²'}",2
V03042770,E175_0620,2024-07-08,6.8,"{'temp': '0.8°C', 'pressure': '903.7 hPa', 'vibrations': '1.4041035526196166 m/s²'}",0
V06983472,A321_6807,2024-07-08,4.4,"{'temp': '-9.0°C', 'pressure': '959.1 hPa', 'vibrations': '1.1780390593618533 m/s²'}",0
V05810336,A320_6924,2024-07-08,5.2,"{'temp': '10.3°C', 'pressure': '956.2 hPa', 'vibrations': '2.2924498887348994 m/s²'}",0
