ref_vol,aero_linked,jour_vol,time_en_air,sensor_data,etat_voyant
V03404339,B737_0789,2024-07-03,3.9,"{'temp': '-5.1°C', 'pressure': '1009.4 hPa', 'vibrations': '1.906929230809531 m/s²'}",0
V04602298,CRJ900_3675,2024-07-03,1.2,"{'temp': '-11.9°C', 'pressure': '938.1 hPa', 'vibrations': '1.548130010928216 m/s²'}",0
V07393772,B767_5422,2024-07-03,1.6,"{'temp': '-5.5°C', 'pressure': '1010.7 hPa', 'vibrations': '0.9991649714753981 m/s²'}",0
V09544979,B767_4217,2024-07-03,6.8,"{'temp': '4.6°C', 'pressure': '917.6 hPa', 'vibrations': '0.43309138283190274 m/s²'}",0
V09727160,A330_6573,2024-07-03,3.6,"{'temp': '-0.4°C', 'pressure': '1007.0 hPa', 'vibrations': '0.6893540019603289 m/s²'}",0
V02646367,B767_2368,2024-07-03,4.9,"{'temp': '-4.4°C', 'pressure': '914.2 hPa', 'vibrations': '3.1735663540370194 m/s²'}",0
V00601835,A340_3614,2024-07-03,0.6,"{'temp': '-8.3°C', 'pressure': '994.5 hPa', 'vibrations': '0.7531156875826711 m/s²'}",0
V04313201,A350_6031,2024-07-03,1.8,"{'temp': '-10.8°C', 'pressure': '977.4 hPa', 'vibrations': '1.5347578935088524 m/s²'}",0
V07953058,CRJ700_1788,2024-07-03,4.3,"{'temp': '-10.8°C', 'pressure': '953.3 hPa', 'vibrations': '2.830785243334147 m/s²'}",0
V00224927,B747_4007,2024-07-03,3.4,"{'temp': '-12.1°C', 'pressure': '963.4 hPa', 'vibrations': '0.9604205209045746 m/s²'}",1
V00408904,B737_3924,2024-07-03,4.8,"{'temp': '-8.5°C', 'pressure': '952.2 hPa', 'vibrations': '3.1061677930889466 m/s²'}",0
V04092041,A380_6878,2024-07-03,3.9,"{'temp': '18.3°C', 'pressure': '961.1 hPa', 'vibrations': '4.070867877341475 m/s²'}",0
V03489099,B747_4824,2024-07-03,4.5,"{'temp': '-10.2°C', 'pressure': '977.3 hPa', 'vibrations': '1.1126672269777753 m/s²'}",0
V01790761,CRJ700_4386,2024-07-03,5.3,"{'temp': '1.0°C', 'pressure': '994.0 hPa', 'vibrations': '0.901784823588147 m/s²'}",0
V02826977,A320_2497,2024-07-03,5.3,"{'temp': '-2.0°C', 'pressure': '934.7 hPa', 'vibrations': '1.9973367740295367 m/s²'}",0
V00861503,CRJ900_3749,2024-07-03,5.6,"{'temp': '9.5°C', 'pressure': '968.9 hPa', 'vibrations': '1.2328912565779055 m/s²'}",0
V01385874,A330_5146,2024-07-03,3.5,"{'temp': '11.9°C', 'pressure': '948.3 hPa', 'vibrations': '2.766351193817773 m/s²'}",0
V07948142,B767_0906,2024-07-03,7.7,"{'temp': '-16.4°C', 'pressure': '899.5 hPa', 'vibrations': '0.9565170163386838 m/s²'}",1
V05997022,B767_0277,2024-07-03,6.8,"{'temp': '-16.6°C', 'pressure': '1014.3 hPa', 'vibrations': '0.8637286520381432 m/s²'}",1
V08426834,A350_6452,2024-07-03,8.9,"{'temp': '-1.5°C', 'pressure': '1011.0 hPa', 'vibrations': '3.1603445811667283 m/s²'}",0
V04006145,A330_4046,2024-07-03,5.3,"{'temp': '6.8°C', 'pressure': '1014.4 hPa', 'vibrations': '0.709375369909484 m/s²'}",0
V06609555,A340_6668,2024-07-03,4.3,"{'temp': '1.2°C', 'pressure': '970.8 hPa', 'vibrations': '0.14256406498245666 m/s²'}",0
V07315250,B737_3303,2024-07-03,3.4,"{'temp': '8.9°C', 'pressure': '934.8 hPa', 'vibrations': '1.730824395719048 m/s²'}",0
V08387770,A380_6907,2024-07-03,5.4,"{'temp': '-0.5°C', 'pressure': '939.4 hPa', 'vibrations': '2.5427480121979684 m/s²'}",0
V09940141,A350_6902,2024-07-03,1.0,"{'temp': '14.6°C', 'pressure': '934.8 hPa', 'vibrations': '1.0585633834472308 m/s²'}",0
V06956155,A380_2017,2024-07-03,3.0,"{'temp': '3.0°C', 'pressure': '938.1 hPa', 'vibrations': '2.620434970933254 m/s²'}",0
V09094881,B747_3165,2024-07-03,4.7,"{'temp': '-8.7°C', 'pressure': '969.4 hPa', 'vibrations': '1.8238805121236763 m/s²'}",0
V07491576,B777_0908,2024-07-03,5.7,"{'temp': '2.1°C', 'pressure': '1033.9 hPa', 'vibrations': '0.4189963154403087 m/s²'}",0
V02436492,A330_1199,2024-07-03,6.4,"{'temp': '4.9°C', 'pressure': '963.1 hPa', 'vibrations': '2.096457299664014 m/s²'}",0
V09285318,A340_1384,2024-07-03,2.5,"{'temp': '-4.7°C', 'pressure': '963.6 hPa', 'vibrations': '2.5216038231167275 m/s²'}",0
V03676267,A330_3404,2024-07-03,2.6,"{'temp': '-1.9°C', 'pressure': '983.1 hPa', 'vibrations': '1.4827587231575257 m/s²'}",0
V06611193,B757_0375,2024-07-03,4.4,"{'temp': '-17.7°C', 'pressure': '1031.8 hPa', 'vibrations': '2.9503056914725674 m/s²'}",1
V00344856,A340_3887,2024-07-03,10.0,"{'temp': '4.9°C', 'pressure': '924.6 hPa', 'vibrations': '2.518483032954262 m/s²'}",0
V08261457,CRJ900_5426,2024-07-03,2.3,"{'temp': '4.4°C', 'pressure': '966.8 hPa', 'vibrations': '1.5103740987082754 m/s²'}",0
V05119831,B747_5273,2024-07-03,6.8,"{'temp': '3.5°C', 'pressure': '1017.3 hPa', 'vibrations': '1.0082347482904952 m/s²'}",0
V09340370,CRJ700_1442,2024-07-03,2.1,"{'temp': '14.8°C', 'pressure': '989.0 hPa', 'vibrations': '4.780577458198825 m/s²'}",0
V05022368,A340_4662,2024-07-03,1.8,"{'temp': '-6.2°C', 'pressure': '963.6 hPa', 'vibrations': '0.9727295921681139 m/s²'}",0
V02256385,CRJ900_1993,2024-07-03,9.9,"{'temp': '-11.4°C', 'pressure': '867.8 hPa', 'vibrations': '3.6050140848937855 m/s²'}",0
V06040902,B777_5963,2024-07-03,4.2,"{'temp': '18.3°C', 'pressure': '937.2 hPa', 'vibrations': '1.52152062432864 m/s²'}",0
V02068599,B777_5397,2024-07-03,2.0,"{'temp': '5.3°C', 'pressure': '950.8 hPa', 'vibrations': '3.5681859639049267 m/s²'}",0
V03417830,A320_6678,2024-07-03,5.0,"{'temp': '-14.3°C', 'pressure': '989.7 hPa', 'vibrations': '4.485239502448622 m/s²'}",1
V07497281,B747_0472,2024-07-03,11.6,"{'temp': '-4.9°C', 'pressure': '927.9 hPa', 'vibrations': '2.572060804838979 m/s²'}",1
V04163108,A380_6924,2024-07-03,0.6,"{'temp': '1.4°C', 'pressure': '1027.2 hPa', 'vibrations': '2.968224728605467 m/s²'}",0
V00827778,B777_3000,2024-07-03,6.7,"{'temp': '18.2°C', 'pressure': '917.0 hPa', 'vibrations': '1.614325831217962 m/s²'}",0
V01987806,A340_1047,2024-07-03,4.3,"{'temp': '21.0°C', 'pressure': '1064.6 hPa', 'vibrations': '2.7203926156016607 m/s²'}",1
V08450438,A321_3707,2024-07-03,9.6,"{'temp': '24.9°C', 'pressure': '913.8 hPa', 'vibrations': '0.9876064747223084 m/s²'}",1
V07989734,B757_6416,2024-07-03,7.3,"{'temp': '4.0°C', 'pressure': '1003.5 hPa', 'vibrations': '2.476476404271109 m/s²'}",0
