ref_vol,aero_linked,jour_vol,time_en_air,sensor_data,etat_voyant
V01786758,B777_6867,2024-07-01,4.1,"{'temp': '1.6°C', 'pressure': '946.9 hPa', 'vibrations': '4.72075240695056 m/s²'}",2
V09699267,B777_5812,2024-07-01,0.6,"{'temp': '-14.3°C', 'pressure': '920.8 hPa', 'vibrations': '0.20833001015126473 m/s²'}",1
V05173413,B747_4211,2024-07-01,4.6,"{'temp': '-5.6°C', 'pressure': '910.2 hPa', 'vibrations': '0.5772398995923667 m/s²'}",0
V05558868,CRJ900_1943,2024-07-01,1.1,"{'temp': '14.2°C', 'pressure': '1002.3 hPa', 'vibrations': '1.9836544319776355 m/s²'}",0
V01213951,A380_2079,2024-07-01,2.6,"{'temp': '-26.8°C', 'pressure': '940.4 hPa', 'vibrations': '1.696291847391701 m/s²'}",1
V00755592,B767_2417,2024-07-01,5.3,"{'temp': '0.5°C', 'pressure': '921.9 hPa', 'vibrations': '2.3182278453813687 m/s²'}",0
V05909177,A340_2793,2024-07-01,0.6,"{'temp': '13.7°C', 'pressure': '936.6 hPa', 'vibrations': '2.0208870132253725 m/s²'}",0
V09279691,E170_6913,2024-07-01,2.9,"{'temp': '0.3°C', 'pressure': '917.0 hPa', 'vibrations': '0.7001226374227648 m/s²'}",0
V09489368,A330_3548,2024-07-01,10.8,"{'temp': '-7.7°C', 'pressure': '891.0 hPa', 'vibrations': '1.657460711052781 m/s²'}",0
V08235915,E175_1426,2024-07-01,5.7,"{'temp': '-7.5°C', 'pressure': '965.2 hPa', 'vibrations': '0.25596668697542735 m/s²'}",0
V09444818,E175_3843,2024-07-01,5.7,"{'temp': '-8.5°C', 'pressure': '955.0 hPa', 'vibrations': '0.4920613251839612 m/s²'}",0
V03203354,B737_1117,2024-07-01,3.3,"{'temp': '-8.0°C', 'pressure': '904.4 hPa', 'vibrations': '4.763825472403507 m/s²'}",0
V08086457,A330_5146,2024-07-01,6.1,"{'temp': '-2.8°C', 'pressure': '1078.4 hPa', 'vibrations': '4.0078339825943905 m/s²'}",0
V00412847,E170_2943,2024-07-01,5.6,"{'temp': '-15.7°C', 'pressure': '1028.1 hPa', 'vibrations': '2.792395220650989 m/s²'}",1
V04631820,A321_5105,2024-07-01,7.3,"{'temp': '1.2°C', 'pressure': '1001.4 hPa', 'vibrations': '4.936525689088712 m/s²'}",0
V01691642,B777_4029,2024-07-01,4.0,"{'temp': '-11.7°C', 'pressure': '862.1 hPa', 'vibrations': '3.9586043684366414 m/s²'}",0
V00309016,A330_4856,2024-07-01,6.3,"{'temp': '1.0°C', 'pressure': '917.9 hPa', 'vibrations': '3.0089175578612344 m/s²'}",0
V03735267,A380_0553,2024-07-01,11.0,"{'temp': '24.3°C', 'pressure': '1089.7 hPa', 'vibrations': '0.7695807407903377 m/s²'}",1
V09382841,E170_0081,2024-07-01,9.0,"{'temp': '-7.5°C', 'pressure': '992.5 hPa', 'vibrations': '1.128438035743451 m/s²'}",0
V04971753,A340_1505,2024-07-01,8.6,"{'temp': '-13.5°C', 'pressure': '997.2 hPa', 'vibrations': '4.816462747546061 m/s²'}",1
