ref_vol,aero_linked,jour_vol,time_en_air,sensor_data,etat_voyant
V09646326,B767_3878,2024-07-11,8.6,"{'temp': '-9.9°C', 'pressure': '1018.9 hPa', 'vibrations': '1.630882789559871 m/s²'}",0
V03035527,B757_6416,2024-07-11,5.3,"{'temp': '-7.7°C', 'pressure': '963.1 hPa', 'vibrations': '0.8331141214175075 m/s²'}",0
V06979583,E170_2583,2024-07-11,5.0,"{'temp': '-1.6°C', 'pressure': '959.4 hPa', 'vibrations': '3.8376801613988345 m/s²'}",0
V09737744,A380_0594,2024-07-11,0.6,"{'temp': '-3.7°C', 'pressure': '975.1 hPa', 'vibrations': '3.541196971565694 m/s²'}",0
V08777072,A320_1884,2024-07-11,5.6,"{'temp': '-5.6°C', 'pressure': '930.7 hPa', 'vibrations': '3.64294615188788 m/s²'}",0
V02541892,A350_6452,2024-07-11,4.1,"{'temp': '-7.0°C', 'pressure': '954.9 hPa', 'vibrations': '4.468038830637865 m/s²'}",0
V08903686,E175_3843,2024-07-11,4.0,"{'temp': '-6.7°C', 'pressure': '933.9 hPa', 'vibrations': '4.466878480278266 m/s²'}",0
V06009531,A380_0710,2024-07-11,2.7,"{'temp': '-1.5°C', 'pressure': '945.8 hPa', 'vibrations': '4.958012429329426 m/s²'}",0
V03589678,A380_5199,2024-07-11,1.5,"{'temp': '-10.8°C', 'pressure': '988.4 hPa', 'vibrations': '0.3071870493700035 m/s²'}",0
V02077043,A321_6807,2024-07-11,2.3,"{'temp': '5.1°C', 'pressure': '990.0 hPa', 'vibrations': '0.0240093148790943 m/s²'}",0
V06239865,A330_5998,2024-07-11,2.5,"{'temp': '12.8°C', 'pressure': '1004.1 hPa', 'vibrations': '0.07857665511163958 m/s²'}",0
V02363084,A320_2237,2024-07-11,7.7,"{'temp': '-10.0°C', 'pressure': '977.0 hPa', 'vibrations': '0.4008724046954609 m/s²'}",0
V05554385,A330_2237,2024-07-11,7.5,"{'temp': '8.8°C', 'pressure': '980.5 hPa', 'vibrations': '3.331156050305978 m/s²'}",0
V01323145,E170_6420,2024-07-11,7.1,"{'temp': '-3.2°C', 'pressure': '949.7 hPa', 'vibrations': '1.4649002256340626 m/s²'}",0
V07156204,E175_5586,2024-07-11,5.5,"{'temp': '0.6°C', 'pressure': '911.7 hPa', 'vibrations': '2.0710537811590033 m/s²'}",0
V02959306,CRJ700_0969,2024-07-11,5.8,"{'temp': '4.6°C', 'pressure': '852.4 hPa', 'vibrations': '3.9307287231270576 m/s²'}",0
V02167956,B747_3165,2024-07-11,6.6,"{'temp': '3.3°C', 'pressure': '995.5 hPa', 'vibrations': '4.854656906654043 m/s²'}",0
V07581039,A330_3411,2024-07-11,6.1,"{'temp': '12.8°C', 'pressure': '968.0 hPa', 'vibrations': '3.974425990347763 m/s²'}",0
V04379830,A321_3707,2024-07-11,6.8,"{'temp': '6.4°C', 'pressure': '999.1 hPa', 'vibrations': '2.747216035141837 m/s²'}",0
V07535293,A340_1384,2024-07-11,10.2,"{'temp': '-1.0°C', 'pressure': '827.6 hPa', 'vibrations': '0.4659853832816818 m/s²'}",0
V03399332,A340_6668,2024-07-11,4.6,"{'temp': '-2.9°C', 'pressure': '952.3 hPa', 'vibrations': '3.0704318350266298 m/s²'}",0
V07752792,B747_4824,2024-07-11,8.6,"{'temp': '9.0°C', 'pressure': '964.0 hPa', 'vibrations': '3.9387293332642583 m/s²'}",0
V01346936,B747_4211,2024-07-11,3.0,"{'temp': '7.7°C', 'pressure': '940.6 hPa', 'vibrations': '0.555769244952613 m/s²'}",0
V04940945,A350_3976,2024-07-11,7.7,"{'temp': '-1.5°C', 'pressure': '977.5 hPa', 'vibrations': '1.0580045438597492 m/s²'}",0
V00441039,A380_2017,2024-07-11,6.3,"{'temp': '-7.6°C', 'pressure': '938.9 hPa', 'vibrations': '1.3368507149471869 m/s²'}",0
V06649243,CRJ900_5500,2024-07-11,0.6,"{'temp': '-2.1°C', 'pressure': '919.3 hPa', 'vibrations': '0.8793899473687 m/s²'}",0
V06754923,E170_4215,2024-07-11,4.3,"{'temp': '-12.1°C', 'pressure': '901.9 hPa', 'vibrations': '0.5456792083635276 m/s²'}",1
V01363971,B777_0122,2024-07-11,7.0,"{'temp': '6.7°C', 'pressure': '924.6 hPa', 'vibrations': '3.09440097481328 m/s²'}",0
V08852494,A340_4021,2024-07-11,5.8,"{'temp': '5.9°C', 'pressure': '992.7 hPa', 'vibrations': '2.4844474652789166 m/s²'}",0
V08597895,A380_0553,2024-07-11,0.6,"{'temp': '-10.5°C', 'pressure': '890.4 hPa', 'vibrations': '3.8534788264799404 m/s²'}",0
V02234434,E175_2977,2024-07-11,1.3,"{'temp': '-7.7°C', 'pressure': '964.4 hPa', 'vibrations': '0.9683538714982032 m/s²'}",0
V01418079,B737_1936,2024-07-11,6.8,"{'temp': '2.0°C', 'pressure': '959.0 hPa', 'vibrations': '2.8664159507428644 m/s²'}",0
V06020606,E170_6353,2024-07-11,9.9,"{'temp': '9.1°C', 'pressure': '954.0 hPa', 'vibrations': '2.7561430177991593 m/s²'}",0
V02038740,A350_5987,2024-07-11,7.6,"{'temp': '-3.3°C', 'pressure': '975.0 hPa', 'vibrations': '1.4509089953953032 m/s²'}",0
V02478874,A350_2655,2024-07-11,3.8,"{'temp': '-12.9°C', 'pressure': '860.4 hPa', 'vibrations': '2.919340582534306 m/s²'}",1
V09591580,B747_1460,2024-07-11,2.7,"{'temp': '10.4°C', 'pressure': '871.0 hPa', 'vibrations': '0.8817041505081508 m/s²'}",0
V02848676,B777_3776,2024-07-11,6.1,"{'temp': '14.0°C', 'pressure': '1021.3 hPa', 'vibrations': '1.332961417015826 m/s²'}",0
V04347425,A321_1458,2024-07-11,10.2,"{'temp': '-1.5°C', 'pressure': '890.3 hPa', 'vibrations': '1.2265816438306616 m/s²'}",0
V00289103,B757_6477,2024-07-11,3.8,"{'temp': '0.1°C', 'pressure': '908.4 hPa', 'vibrations': '1.1152180253749455 m/s²'}",0
V01429599,A330_4129,2024-07-11,5.1,"{'temp': '4.3°C', 'pressure': '953.2 hPa', 'vibrations': '3.54246392513986 m/s²'}",0
V00703976,A321_5105,2024-07-11,3.9,"{'temp': '-0.3°C', 'pressure': '974.9 hPa', 'vibrations': '4.4493549425515875 m/s²'}",0
V00384197,B747_0472,2024-07-11,4.7,"{'temp': '1.9°C', 'pressure': '1059.0 hPa', 'vibrations': '3.292302503588097 m/s²'}",0
V01775140,A340_4633,2024-07-11,2.3,"{'temp': '4.9°C', 'pressure': '999.3 hPa', 'vibrations': '3.6939715020942043 m/s²'}",2
V04440092,E170_1544,2024-07-11,5.7,"{'temp': '6.6°C', 'pressure': '895.6 hPa', 'vibrations': '0.0668311180144332 m/s²'}",0
V02228333,A380_3155,2024-07-11,4.8,"{'temp': '-9.0°C', 'pressure': '1007.3 hPa', 'vibrations': '2.673297022135758 m/s²'}",0
V01033124,E170_2943,2024-07-11,5.5,"{'temp': '0.8°C', 'pressure': '967.0 hPa', 'vibrations': '1.6614312514596175 m/s²'}",0
V07168472,B747_4659,2024-07-11,3.3,"{'temp': '6.4°C', 'pressure': '987.0 hPa', 'vibrations': '4.116646346049678 m/s²'}",0
V05679112,A330_3548,2024-07-11,6.1,"{'temp': '5.0°C', 'pressure': '852.4 hPa', 'vibrations': '2.0368161854677997 m/s²'}",0
