ref_vol,aero_linked,jour_vol,time_en_air,sensor_data,etat_voyant
V01064287,B747_4824,2024-07-26,0.7,"{'temp': '-4.5°C', 'pressure': '998.1 hPa', 'vibrations': '4.911846050649009 m/s²'}",0
V06632183,A330_0921,2024-07-26,4.4,"{'temp': '-2.3°C', 'pressure': '941.5 hPa', 'vibrations': '3.8875822666584736 m/s²'}",0
V00167400,A321_1968,2024-07-26,1.2,"{'temp': '15.4°C', 'pressure': '939.4 hPa', 'vibrations': '3.429190366804194 m/s²'}",0
V02044592,E175_2805,2024-07-26,6.4,"{'temp': '-11.5°C', 'pressure': '901.5 hPa', 'vibrations': '4.6871230523284115 m/s²'}",0
V02921491,B767_2803,2024-07-26,9.0,"{'temp': '-5.5°C', 'pressure': '1014.1 hPa', 'vibrations': '4.76447583623777 m/s²'}",0
V07881094,A380_4294,2024-07-26,0.6,"{'temp': '2.4°C', 'pressure': '934.8 hPa', 'vibrations': '4.814195323870355 m/s²'}",0
V02689575,E170_6353,2024-07-26,0.6,"{'temp': '0.6°C', 'pressure': '904.5 hPa', 'vibrations': '1.5679413219909244 m/s²'}",0
V05553657,CRJ700_2988,2024-07-26,0.6,"{'temp': '-14.9°C', 'pressure': '1000.1 hPa', 'vibrations': '2.0569879661816666 m/s²'}",1
V05615746,E170_6723,2024-07-26,2.6,"{'temp': '4.4°C', 'pressure': '925.1 hPa', 'vibrations': '2.2907231842338187 m/s²'}",0
V02695148,A350_6902,2024-07-26,3.8,"{'temp': '18.3°C', 'pressure': '971.9 hPa', 'vibrations': '0.5559184294178138 m/s²'}",0
V04064136,B737_2262,2024-07-26,6.7,"{'temp': '-19.5°C', 'pressure': '892.6 hPa', 'vibrations': '3.2030464676101884 m/s²'}",1
V00275395,A320_4367,2024-07-26,2.5,"{'temp': '-21.6°C', 'pressure': '999.3 hPa', 'vibrations': '3.2676802222701795 m/s²'}",1
V01304985,E175_0620,2024-07-26,2.3,"{'temp': '-22.6°C', 'pressure': '896.3 hPa', 'vibrations': '4.932599096932366 m/s²'}",1
V06181455,A340_6668,2024-07-26,5.6,"{'temp': '17.9°C', 'pressure': '1008.3 hPa', 'vibrations': '1.8425615082394748 m/s²'}",0
V00277380,E170_3393,2024-07-26,8.7,"{'temp': '-1.8°C', 'pressure': '920.6 hPa', 'vibrations': '3.190125133973015 m/s²'}",0
V07969427,B757_6092,2024-07-26,3.6,"{'temp': '-9.9°C', 'pressure': '958.4 hPa', 'vibrations': '1.5448726840073335 m/s²'}",0
