ref_vol,aero_linked,jour_vol,time_en_air,sensor_data,etat_voyant
V02477783,CRJ700_1442,2024-06-26,0.6,"{'temp': '3.4°C', 'pressure': '1014.3 hPa', 'vibrations': '2.6271424913467656 m/s²'}",0
V05864405,B757_6092,2024-06-26,6.5,"{'temp': '-3.8°C', 'pressure': '903.9 hPa', 'vibrations': '0.9706603719074236 m/s²'}",0
V07749840,A340_1384,2024-06-26,4.3,"{'temp': '-4.7°C', 'pressure': '1010.4 hPa', 'vibrations': '0.07798973706342971 m/s²'}",0
V08753272,A321_1460,2024-06-26,3.5,"{'temp': '-2.7°C', 'pressure': '1016.2 hPa', 'vibrations': '3.5435188068198302 m/s²'}",0
V01239805,A330_6708,2024-06-26,1.8,"{'temp': '3.3°C', 'pressure': '940.7 hPa', 'vibrations': '4.627267127554548 m/s²'}",0
V05851177,A380_0553,2024-06-26,4.5,"{'temp': '-13.4°C', 'pressure': '909.7 hPa', 'vibrations': '4.314313762951798 m/s²'}",1
V07468048,A330_3548,2024-06-26,6.3,"{'temp': '9.6°C', 'pressure': '951.3 hPa', 'vibrations': '1.5414503831462245 m/s²'}",0
V01285256,A380_2079,2024-06-26,2.0,"{'temp': '6.9°C', 'pressure': '914.3 hPa', 'vibrations': '4.596265741231626 m/s²'}",0
V09456943,A320_5229,2024-06-26,8.2,"{'temp': '-29.7°C', 'pressure': '913.4 hPa', 'vibrations': '2.9971640670568176 m/s²'}",1
V03535614,A330_3404,2024-06-26,7.5,"{'temp': '-12.6°C', 'pressure': '914.3 hPa', 'vibrations': '0.5999299721137025 m/s²'}",1
V01350562,CRJ700_6943,2024-06-26,8.6,"{'temp': '-18.2°C', 'pressure': '922.7 hPa', 'vibrations': '1.50313688281045 m/s²'}",1
V07837359,B777_0122,2024-06-26,5.5,"{'temp': '0.2°C', 'pressure': '903.1 hPa', 'vibrations': '2.912588241712411 m/s²'}",0
V05960209,B767_0906,2024-06-26,8.7,"{'temp': '13.8°C', 'pressure': '957.8 hPa', 'vibrations': '3.3988565745925694 m/s²'}",0
V05682856,E170_4215,2024-06-26,7.6,"{'temp': '-1.3°C', 'pressure': '976.5 hPa', 'vibrations': '3.790230475640883 m/s²'}",0
V05664126,A350_0441,2024-06-26,5.5,"{'temp': '20.5°C', 'pressure': '928.5 hPa', 'vibrations': '0.5631481356196999 m/s²'}",1
