ref_vol,aero_linked,jour_vol,time_en_air,sensor_data,etat_voyant
V04724114,A350_4039,2024-06-23,3.2,"{'temp': '-4.3°C', 'pressure': '926.1 hPa', 'vibrations': '4.055385806754506 m/s²'}",0
V03409801,A350_6452,2024-06-23,3.3,"{'temp': '-0.3°C', 'pressure': '989.0 hPa', 'vibrations': '0.9057341142799857 m/s²'}",0
V07020573,B757_2518,2024-06-23,3.7,"{'temp': '16.2°C', 'pressure': '1002.2 hPa', 'vibrations': '2.8708490222971044 m/s²'}",0
V06335453,A340_3962,2024-06-23,0.7,"{'temp': '6.5°C', 'pressure': '1025.0 hPa', 'vibrations': '4.124277227554201 m/s²'}",0
V01823539,A320_6678,2024-06-23,5.7,"{'temp': '4.2°C', 'pressure': '863.8 hPa', 'vibrations': '4.976051011188498 m/s²'}",0
V02927951,B747_2389,2024-06-23,4.5,"{'temp': '0.5°C', 'pressure': '929.5 hPa', 'vibrations': '3.5102893320574964 m/s²'}",0
V05780300,A330_2602,2024-06-23,6.1,"{'temp': '-4.4°C', 'pressure': '994.7 hPa', 'vibrations': '0.8964666964458795 m/s²'}",0
V08344676,A320_5229,2024-06-23,3.7,"{'temp': '-28.8°C', 'pressure': '1013.1 hPa', 'vibrations': '1.7760099267365703 m/s²'}",1
V02336676,E175_4558,2024-06-23,6.1,"{'temp': '10.7°C', 'pressure': '1015.5 hPa', 'vibrations': '3.8178781178101233 m/s²'}",0
V06571989,B757_6416,2024-06-23,3.1,"{'temp': '-8.7°C', 'pressure': '986.2 hPa', 'vibrations': '3.087031442569985 m/s²'}",0
V02022479,B767_2790,2024-06-23,1.6,"{'temp': '10.4°C', 'pressure': '1010.6 hPa', 'vibrations': '4.203282767837902 m/s²'}",0
V06298046,B757_6092,2024-06-23,5.8,"{'temp': '0.2°C', 'pressure': '959.0 hPa', 'vibrations': '2.6435274920227796 m/s²'}",0
V07492620,A330_6708,2024-06-23,1.7,"{'temp': '7.4°C', 'pressure': '948.8 hPa', 'vibrations': '1.5856326557847007 m/s²'}",0
V08858117,E170_5551,2024-06-23,3.7,"{'temp': '7.8°C', 'pressure': '949.0 hPa', 'vibrations': '2.211709559388169 m/s²'}",2
V01729328,A320_3178,2024-06-23,8.1,"{'temp': '0.6°C', 'pressure': '911.9 hPa', 'vibrations': '4.58785193673667 m/s²'}",0
V03254222,A340_4633,2024-06-23,3.7,"{'temp': '14.1°C', 'pressure': '900.9 hPa', 'vibrations': '2.317763666423829 m/s²'}",0
