ref_vol,aero_linked,jour_vol,time_en_air,sensor_data,etat_voyant
V06217618,A350_0441,2024-07-14,12.6,"{'temp': '-1.8°C', 'pressure': '1014.2 hPa', 'vibrations': '1.6938052246628628 m/s²'}",1
V06252879,A350_0500,2024-07-14,6.7,"{'temp': '1.3°C', 'pressure': '844.3 hPa', 'vibrations': '4.564626228761367 m/s²'}",0
V01454014,A320_6493,2024-07-14,7.2,"{'temp': '-4.2°C', 'pressure': '946.3 hPa', 'vibrations': '0.9780625289415967 m/s²'}",0
V03544969,CRJ700_4386,2024-07-14,5.5,"{'temp': '13.0°C', 'pressure': '940.8 hPa', 'vibrations': '4.286888398146954 m/s²'}",0
V07938667,A330_0921,2024-07-14,4.5,"{'temp': '0.6°C', 'pressure': '1004.2 hPa', 'vibrations': '2.4101115894991043 m/s²'}",0
V01277484,E175_5586,2024-07-14,1.0,"{'temp': '-4.3°C', 'pressure': '898.2 hPa', 'vibrations': '1.9442099946187614 m/s²'}",0
V08131913,B777_4962,2024-07-14,6.5,"{'temp': '3.7°C', 'pressure': '1025.3 hPa', 'vibrations': '4.784172859338175 m/s²'}",0
V07999947,E170_3927,2024-07-14,10.6,"{'temp': '2.7°C', 'pressure': '914.0 hPa', 'vibrations': '3.617304916946175 m/s²'}",0
V01051922,B747_5923,2024-07-14,7.0,"{'temp': '3.1°C', 'pressure': '847.1 hPa', 'vibrations': '1.5787550078860924 m/s²'}",0
V02124672,E175_2945,2024-07-14,4.7,"{'temp': '7.6°C', 'pressure': '998.8 hPa', 'vibrations': '0.5601892450490359 m/s²'}",0
V02926508,CRJ900_1993,2024-07-14,1.2,"{'temp': '-8.7°C', 'pressure': '986.7 hPa', 'vibrations': '2.6634665869008574 m/s²'}",0
V05986459,CRJ700_3181,2024-07-14,2.8,"{'temp': '7.2°C', 'pressure': '894.5 hPa', 'vibrations': '0.317842717650062 m/s²'}",0
V07801023,A350_2655,2024-07-14,2.5,"{'temp': '9.3°C', 'pressure': '978.9 hPa', 'vibrations': '4.549009812963122 m/s²'}",0
V04069770,B767_0277,2024-07-14,9.3,"{'temp': '-16.2°C', 'pressure': '960.7 hPa', 'vibrations': '4.891913306984532 m/s²'}",1
V02818610,E170_5551,2024-07-14,3.0,"{'temp': '-19.9°C', 'pressure': '947.6 hPa', 'vibrations': '0.49093565457148325 m/s²'}",1
V06836978,A340_6943,2024-07-14,0.6,"{'temp': '-0.0°C', 'pressure': '915.8 hPa', 'vibrations': '4.366778710417998 m/s²'}",0
V00409061,B757_6806,2024-07-14,3.7,"{'temp': '-3.3°C', 'pressure': '908.7 hPa', 'vibrations': '4.330343111014261 m/s²'}",0
V00653501,CRJ900_2577,2024-07-14,3.3,"{'temp': '14.1°C', 'pressure': '944.2 hPa', 'vibrations': '3.043494469621723 m/s²'}",0
V05744543,B737_3303,2024-07-14,3.2,"{'temp': '1.3°C', 'pressure': '937.8 hPa', 'vibrations': '0.9108778194039091 m/s²'}",0
V04026997,A321_4232,2024-07-14,6.6,"{'temp': '-0.6°C', 'pressure': '971.0 hPa', 'vibrations': '0.08741132029717436 m/s²'}",0
V05059696,CRJ900_3675,2024-07-14,4.9,"{'temp': '11.9°C', 'pressure': '931.2 hPa', 'vibrations': '2.475964036021953 m/s²'}",2
V01063010,A380_6121,2024-07-14,4.9,"{'temp': '14.4°C', 'pressure': '929.1 hPa', 'vibrations': '2.1953613948951833 m/s²'}",0
V05556147,E170_5551,2024-07-14,8.0,"{'temp': '4.9°C', 'pressure': '964.8 hPa', 'vibrations': '4.680059061320607 m/s²'}",0
V08950069,B757_2908,2024-07-14,4.4,"{'temp': '-6.8°C', 'pressure': '910.2 hPa', 'vibrations': '4.480365770883912 m/s²'}",0
V05381374,A350_4789,2024-07-14,5.9,"{'temp': '4.3°C', 'pressure': '1021.2 hPa', 'vibrations': '2.1537007076129546 m/s²'}",0
V08006191,CRJ700_6849,2024-07-14,5.2,"{'temp': '11.1°C', 'pressure': '966.5 hPa', 'vibrations': '4.02369397022789 m/s²'}",0
V01615665,B777_5397,2024-07-14,6.3,"{'temp': '3.2°C', 'pressure': '880.5 hPa', 'vibrations': '0.25344448829349775 m/s²'}",0
V02490459,B747_4211,2024-07-14,5.0,"{'temp': '-13.9°C', 'pressure': '1016.8 hPa', 'vibrations': '2.797460266929368 m/s²'}",1
V01097250,B777_5688,2024-07-14,5.4,"{'temp': '15.0°C', 'pressure': '866.5 hPa', 'vibrations': '0.42405443669676246 m/s²'}",0
V00669093,A380_3155,2024-07-14,3.2,"{'temp': '-5.0°C', 'pressure': '966.5 hPa', 'vibrations': '0.6341529129282852 m/s²'}",0
V06819737,A350_6092,2024-07-14,6.4,"{'temp': '0.8°C', 'pressure': '978.4 hPa', 'vibrations': '3.8725680977985855 m/s²'}",0
V01027415,A380_0594,2024-07-14,7.1,"{'temp': '-6.0°C', 'pressure': '969.8 hPa', 'vibrations': '2.721423563668396 m/s²'}",0
V01789613,B757_0375,2024-07-14,6.8,"{'temp': '-17.3°C', 'pressure': '998.5 hPa', 'vibrations': '1.2168164195520204 m/s²'}",1
V09891028,B747_1988,2024-07-14,5.9,"{'temp': '10.0°C', 'pressure': '985.6 hPa', 'vibrations': '4.9429960616903506 m/s²'}",0
V07470497,B737_2975,2024-07-14,4.2,"{'temp': '-6.5°C', 'pressure': '1005.4 hPa', 'vibrations': '4.333661526243413 m/s²'}",0
V00629145,CRJ700_1788,2024-07-14,4.9,"{'temp': '1.9°C', 'pressure': '968.6 hPa', 'vibrations': '2.6080079996038332 m/s²'}",0
