ref_vol,aero_linked,jour_vol,time_en_air,sensor_data,etat_voyant
V05387875,A380_6283,2024-06-15,5.6,"{'temp': '-16.9°C', 'pressure': '993.3 hPa', 'vibrations': '1.567378745339178 m/s²'}",1
V00358714,A330_3519,2024-06-15,4.8,"{'temp': '6.9°C', 'pressure': '1006.2 hPa', 'vibrations': '0.7691602601461772 m/s²'}",0
V03581109,B777_3944,2024-06-15,3.5,"{'temp': '9.6°C', 'pressure': '828.2 hPa', 'vibrations': '4.297896925024642 m/s²'}",0
V04236197,A350_4789,2024-06-15,2.2,"{'temp': '-4.4°C', 'pressure': '855.4 hPa', 'vibrations': '2.1202531302360605 m/s²'}",0
V06334255,CRJ900_5500,2024-06-15,9.3,"{'temp': '10.1°C', 'pressure': '965.8 hPa', 'vibrations': '0.8488587791974889 m/s²'}",0
V09003672,E170_2583,2024-06-15,3.7,"{'temp': '-7.0°C', 'pressure': '888.6 hPa', 'vibrations': '1.620673177153923 m/s²'}",0
V09121507,A330_2982,2024-06-15,4.5,"{'temp': '-19.8°C', 'pressure': '940.7 hPa', 'vibrations': '4.548015543657675 m/s²'}",1
V04490805,A380_4294,2024-06-15,8.4,"{'temp': '3.5°C', 'pressure': '1019.4 hPa', 'vibrations': '2.6727590700659127 m/s²'}",0
V04939947,B777_5397,2024-06-15,4.2,"{'temp': '1.4°C', 'pressure': '971.5 hPa', 'vibrations': '3.374174089617443 m/s²'}",0
V04069883,B747_3165,2024-06-15,5.5,"{'temp': '-1.4°C', 'pressure': '889.4 hPa', 'vibrations': '4.533563740611598 m/s²'}",0
V08756381,B747_2724,2024-06-15,2.8,"{'temp': '-7.9°C', 'pressure': '950.6 hPa', 'vibrations': '1.8160806207917701 m/s²'}",0
V05758538,A330_3404,2024-06-15,5.9,"{'temp': '-4.0°C', 'pressure': '965.4 hPa', 'vibrations': '2.504231714875795 m/s²'}",0
V09342111,A340_4021,2024-06-15,2.4,"{'temp': '-6.8°C', 'pressure': '957.1 hPa', 'vibrations': '4.734358897638788 m/s²'}",0
V02627911,A320_6814,2024-06-15,2.9,"{'temp': '-15.9°C', 'pressure': '1051.7 hPa', 'vibrations': '1.8851885547603948 m/s²'}",1
V06616459,B747_6747,2024-06-15,3.9,"{'temp': '-12.0°C', 'pressure': '941.6 hPa', 'vibrations': '3.7417791545969923 m/s²'}",0
V08149817,A320_6493,2024-06-15,7.1,"{'temp': '-7.6°C', 'pressure': '936.6 hPa', 'vibrations': '3.803652029729456 m/s²'}",0
V05762239,E170_1544,2024-06-15,5.8,"{'temp': '-6.6°C', 'pressure': '961.0 hPa', 'vibrations': '3.5008354341455936 m/s²'}",0
V00846060,B767_2803,2024-06-15,4.3,"{'temp': '6.0°C', 'pressure': '971.8 hPa', 'vibrations': '1.5939810285749378 m/s²'}",0
V08873692,E175_5414,2024-06-15,8.4,"{'temp': '0.7°C', 'pressure': '881.6 hPa', 'vibrations': '2.7992309229627304 m/s²'}",0
V01112560,E175_2977,2024-06-15,4.0,"{'temp': '2.4°C', 'pressure': '897.4 hPa', 'vibrations': '1.9488823585113417 m/s²'}",0
V04808003,B767_2315,2024-06-15,5.6,"{'temp': '0.4°C', 'pressure': '1029.4 hPa', 'vibrations': '2.6710367725630046 m/s²'}",0
V05201512,A321_0181,2024-06-15,7.8,"{'temp': '15.3°C', 'pressure': '1081.9 hPa', 'vibrations': '3.7240173838617068 m/s²'}",0
V08927748,E170_5551,2024-06-15,2.1,"{'temp': '-7.6°C', 'pressure': '932.1 hPa', 'vibrations': '3.3721546307236783 m/s²'}",0
V01184610,B777_5688,2024-06-15,9.0,"{'temp': '-10.4°C', 'pressure': '914.5 hPa', 'vibrations': '3.698486954735147 m/s²'}",0
V04309477,B767_2417,2024-06-15,2.9,"{'temp': '4.0°C', 'pressure': '1013.4 hPa', 'vibrations': '4.7099853496941755 m/s²'}",0
V05775759,A320_6678,2024-06-15,5.0,"{'temp': '2.7°C', 'pressure': '937.5 hPa', 'vibrations': '2.9086264896277902 m/s²'}",0
V02727612,A320_5229,2024-06-15,9.2,"{'temp': '1.8°C', 'pressure': '954.3 hPa', 'vibrations': '1.3052190845545493 m/s²'}",0
V05120987,A350_6495,2024-06-15,10.8,"{'temp': '-9.2°C', 'pressure': '872.3 hPa', 'vibrations': '4.325719712187924 m/s²'}",0
V00492533,A330_6095,2024-06-15,3.2,"{'temp': '-2.8°C', 'pressure': '931.2 hPa', 'vibrations': '2.8296268875153645 m/s²'}",0
V07994059,E175_2805,2024-06-15,6.6,"{'temp': '8.5°C', 'pressure': '910.8 hPa', 'vibrations': '2.870626172751756 m/s²'}",0
V03598054,A340_1505,2024-06-15,6.5,"{'temp': '-9.4°C', 'pressure': '938.2 hPa', 'vibrations': '1.7507623623746187 m/s²'}",0
V07636688,E170_1145,2024-06-15,5.7,"{'temp': '-14.8°C', 'pressure': '911.9 hPa', 'vibrations': '1.7190363506862911 m/s²'}",1
V09077800,A380_6907,2024-06-15,3.8,"{'temp': '3.0°C', 'pressure': '886.1 hPa', 'vibrations': '0.43838041651510395 m/s²'}",0
V04989907,B777_3776,2024-06-15,4.0,"{'temp': '-1.0°C', 'pressure': '897.0 hPa', 'vibrations': '1.2322952681096173 m/s²'}",0
V05201699,A330_0921,2024-06-15,8.9,"{'temp': '2.6°C', 'pressure': '981.9 hPa', 'vibrations': '1.7134425548450998 m/s²'}",0
V01216225,CRJ900_1740,2024-06-15,7.2,"{'temp': '-5.7°C', 'pressure': '928.8 hPa', 'vibrations': '2.0152719863022037 m/s²'}",0
V00161523,A380_6121,2024-06-15,3.1,"{'temp': '-5.0°C', 'pressure': '919.8 hPa', 'vibrations': '1.919248653463443 m/s²'}",0
V04772322,A380_2017,2024-06-15,5.9,"{'temp': '12.5°C', 'pressure': '978.7 hPa', 'vibrations': '4.255324542464885 m/s²'}",0
V07675859,A340_6933,2024-06-15,5.3,"{'temp': '-1.6°C', 'pressure': '1018.0 hPa', 'vibrations': '4.515853786746576 m/s²'}",0
V05368968,CRJ900_3749,2024-06-15,8.5,"{'temp': '11.8°C', 'pressure': '975.9 hPa', 'vibrations': '2.297044529931085 m/s²'}",0
V01050543,A320_6924,2024-06-15,3.2,"{'temp': '12.7°C', 'pressure': '929.1 hPa', 'vibrations': '2.501760950077152 m/s²'}",0
V02885336,B737_5581,2024-06-15,4.6,"{'temp': '-12.1°C', 'pressure': '888.9 hPa', 'vibrations': '0.5875843825333499 m/s²'}",1
V09212665,B757_6416,2024-06-15,8.7,"{'temp': '6.8°C', 'pressure': '947.8 hPa', 'vibrations': '1.3075731902759613 m/s²'}",0
V08095747,A380_0594,2024-06-15,4.1,"{'temp': '0.6°C', 'pressure': '940.3 hPa', 'vibrations': '3.3516961167993453 m/s²'}",0
V02730124,A340_3962,2024-06-15,1.7,"{'temp': '-7.2°C', 'pressure': '918.3 hPa', 'vibrations': '3.886861948124932 m/s²'}",0
V05762314,B747_0442,2024-06-15,7.1,"{'temp': '14.0°C', 'pressure': '903.8 hPa', 'vibrations': '2.4158330839753623 m/s²'}",0
V05963175,A380_3155,2024-06-15,2.5,"{'temp': '6.6°C', 'pressure': '923.3 hPa', 'vibrations': '1.796052317693821 m/s²'}",0
V05961362,A320_3178,2024-06-15,6.2,"{'temp': '4.0°C', 'pressure': '956.9 hPa', 'vibrations': '0.8709174557041538 m/s²'}",0
V09583431,A350_5987,2024-06-15,4.0,"{'temp': '-20.0°C', 'pressure': '978.4 hPa', 'vibrations': '0.651376107968864 m/s²'}",1
V05018458,A330_2237,2024-06-15,7.4,"{'temp': '-6.4°C', 'pressure': '1035.5 hPa', 'vibrations': '2.3227317596074744 m/s²'}",0
V04999074,A340_4940,2024-06-15,6.2,"{'temp': '-6.6°C', 'pressure': '944.0 hPa', 'vibrations': '1.6863408207065738 m/s²'}",0
V04613656,CRJ900_1943,2024-06-15,6.2,"{'temp': '-10.1°C', 'pressure': '902.4 hPa', 'vibrations': '1.091614840572448 m/s²'}",0
V01734800,E170_0081,2024-06-15,1.3,"{'temp': '2.3°C', 'pressure': '888.6 hPa', 'vibrations': '1.0155870277601258 m/s²'}",0
V00377041,B777_6867,2024-06-15,0.6,"{'temp': '12.2°C', 'pressure': '959.9 hPa', 'vibrations': '2.6437568161802165 m/s²'}",0
V07752170,A350_5434,2024-06-15,3.5,"{'temp': '3.3°C', 'pressure': '880.1 hPa', 'vibrations': '2.6176372650002278 m/s²'}",0
V08876729,A350_6031,2024-06-15,7.2,"{'temp': '2.9°C', 'pressure': '935.5 hPa', 'vibrations': '0.4755120276508429 m/s²'}",0
V06883314,B747_5273,2024-06-15,8.3,"{'temp': '-3.5°C', 'pressure': '881.2 hPa', 'vibrations': '2.4522893326837907 m/s²'}",0
V06675522,B757_4533,2024-06-15,6.4,"{'temp': '-4.8°C', 'pressure': '934.8 hPa', 'vibrations': '4.155066892742914 m/s²'}",0
V06685210,E170_4215,2024-06-15,5.2,"{'temp': '1.6°C', 'pressure': '951.0 hPa', 'vibrations': '0.7672494216863046 m/s²'}",0
V05636525,B777_5963,2024-06-15,0.6,"{'temp': '7.0°C', 'pressure': '994.8 hPa', 'vibrations': '1.0613419289932247 m/s²'}",0
V01021353,A350_6092,2024-06-15,9.4,"{'temp': '8.8°C', 'pressure': '828.5 hPa', 'vibrations': '2.1122408694896375 m/s²'}",0
V00946068,A350_2804,2024-06-15,7.5,"{'temp': '15.9°C', 'pressure': '902.8 hPa', 'vibrations': '1.5591927435710211 m/s²'}",0
V09040657,B767_4965,2024-06-15,7.1,"{'temp': '-4.9°C', 'pressure': '998.8 hPa', 'vibrations': '0.22235269033534566 m/s²'}",0
V00990995,B737_1117,2024-06-15,3.6,"{'temp': '-1.4°C', 'pressure': '1033.9 hPa', 'vibrations': '4.669076872243526 m/s²'}",0
V05539137,A320_2237,2024-06-15,4.9,"{'temp': '-1.6°C', 'pressure': '950.4 hPa', 'vibrations': '2.982869626687172 m/s²'}",0
V02248515,CRJ700_1002,2024-06-15,1.4,"{'temp': '-17.8°C', 'pressure': '889.4 hPa', 'vibrations': '2.3248730160615025 m/s²'}",1
V05675538,B757_6806,2024-06-15,10.5,"{'temp': '6.3°C', 'pressure': '971.5 hPa', 'vibrations': '1.9631035788458866 m/s²'}",0
V01915803,E175_2963,2024-06-15,4.8,"{'temp': '-17.8°C', 'pressure': '1016.1 hPa', 'vibrations': '4.055744412795789 m/s²'}",1
V03118633,A340_6668,2024-06-15,6.3,"{'temp': '0.2°C', 'pressure': '1003.8 hPa', 'vibrations': '0.4716716594012338 m/s²'}",0
V01875063,E170_3927,2024-06-15,4.4,"{'temp': '20.1°C', 'pressure': '922.2 hPa', 'vibrations': '3.990126255961828 m/s²'}",1
V08205548,B737_3924,2024-06-15,3.9,"{'temp': '5.6°C', 'pressure': '914.5 hPa', 'vibrations': '3.3102253352688167 m/s²'}",0
V03434509,A330_6708,2024-06-15,5.9,"{'temp': '-6.1°C', 'pressure': '872.8 hPa', 'vibrations': '2.737571219597607 m/s²'}",0
V08887731,B767_5422,2024-06-15,7.8,"{'temp': '8.7°C', 'pressure': '878.7 hPa', 'vibrations': '2.1671183663204245 m/s²'}",0
V00202268,A320_6242,2024-06-15,5.1,"{'temp': '0.7°C', 'pressure': '972.0 hPa', 'vibrations': '4.051902176381924 m/s²'}",0
V07549441,B747_4007,2024-06-15,1.7,"{'temp': '-0.2°C', 'pressure': '807.9 hPa', 'vibrations': '3.1244724637957884 m/s²'}",0
V05452946,B747_1460,2024-06-15,7.6,"{'temp': '-4.7°C', 'pressure': '1007.4 hPa', 'vibrations': '3.56883800571776 m/s²'}",0
V06973750,B737_1256,2024-06-15,2.5,"{'temp': '1.5°C', 'pressure': '1006.4 hPa', 'vibrations': '0.4018959360881491 m/s²'}",0
V05009172,A321_1460,2024-06-15,6.3,"{'temp': '-4.1°C', 'pressure': '922.5 hPa', 'vibrations': '1.1967566677751136 m/s²'}",0
