ref_vol,aero_linked,jour_vol,time_en_air,sensor_data,etat_voyant
V01456815,CRJ700_3108,2024-06-22,4.6,"{'temp': '-5.6°C', 'pressure': '878.2 hPa', 'vibrations': '3.528687669152752 m/s²'}",0
V06576830,A330_3411,2024-06-22,4.4,"{'temp': '19.3°C', 'pressure': '989.9 hPa', 'vibrations': '2.058200137335115 m/s²'}",0
V01363732,CRJ900_5500,2024-06-22,3.8,"{'temp': '-2.5°C', 'pressure': '965.9 hPa', 'vibrations': '4.143231092643633 m/s²'}",0
V03135478,B747_3165,2024-06-22,12.4,"{'temp': '-5.7°C', 'pressure': '974.8 hPa', 'vibrations': '4.676929816431087 m/s²'}",1
V02243804,A350_6031,2024-06-22,7.5,"{'temp': '4.3°C', 'pressure': '905.1 hPa', 'vibrations': '3.8707865925012164 m/s²'}",0
V04593169,A340_1384,2024-06-22,3.4,"{'temp': '8.1°C', 'pressure': '995.1 hPa', 'vibrations': '2.899179561637846 m/s²'}",0
V03666043,B747_2659,2024-06-22,3.5,"{'temp': '15.2°C', 'pressure': '1006.0 hPa', 'vibrations': '2.989603151429522 m/s²'}",0
V05667729,E170_5551,2024-06-22,3.9,"{'temp': '-6.8°C', 'pressure': '837.2 hPa', 'vibrations': '1.4318007439571883 m/s²'}",0
V05119232,B767_4924,2024-06-22,8.0,"{'temp': '15.7°C', 'pressure': '944.9 hPa', 'vibrations': '0.15454826204740368 m/s²'}",0
V03748886,B777_3944,2024-06-22,5.9,"{'temp': '-0.3°C', 'pressure': '992.0 hPa', 'vibrations': '3.868402131623721 m/s²'}",0
V02589257,B767_2368,2024-06-22,6.6,"{'temp': '5.7°C', 'pressure': '971.2 hPa', 'vibrations': '0.8522016091885515 m/s²'}",0
V09254069,A320_6924,2024-06-22,5.4,"{'temp': '-12.1°C', 'pressure': '978.2 hPa', 'vibrations': '3.13242693391232 m/s²'}",1
V01073062,B747_6800,2024-06-22,5.5,"{'temp': '10.6°C', 'pressure': '976.9 hPa', 'vibrations': '1.9210113514875338 m/s²'}",0
V07405083,A320_1930,2024-06-22,6.1,"{'temp': '-11.7°C', 'pressure': '923.1 hPa', 'vibrations': '0.9743805185786991 m/s²'}",0
V05476843,A320_3178,2024-06-22,2.8,"{'temp': '2.9°C', 'pressure': '877.5 hPa', 'vibrations': '1.0459919581339983 m/s²'}",0
V08978314,A340_4662,2024-06-22,5.2,"{'temp': '-2.9°C', 'pressure': '948.5 hPa', 'vibrations': '1.6624498358484936 m/s²'}",0
V08748244,A340_4021,2024-06-22,7.3,"{'temp': '-0.9°C', 'pressure': '929.4 hPa', 'vibrations': '2.298121402404558 m/s²'}",0
V09936413,B747_0262,2024-06-22,2.9,"{'temp': '3.9°C', 'pressure': '969.7 hPa', 'vibrations': '1.3635056294834502 m/s²'}",0
V09768468,A330_6708,2024-06-22,7.9,"{'temp': '19.8°C', 'pressure': '955.4 hPa', 'vibrations': '0.9352926444750592 m/s²'}",0
V08447775,B767_0906,2024-06-22,6.5,"{'temp': '-4.3°C', 'pressure': '1049.4 hPa', 'vibrations': '0.3367458646237048 m/s²'}",0
V02611080,A350_6305,2024-06-22,2.5,"{'temp': '4.3°C', 'pressure': '955.1 hPa', 'vibrations': '2.7945859360945664 m/s²'}",0
V05189771,CRJ900_4042,2024-06-22,5.5,"{'temp': '-7.6°C', 'pressure': '958.7 hPa', 'vibrations': '4.788345240603516 m/s²'}",0
V09125000,B747_4211,2024-06-22,4.9,"{'temp': '8.4°C', 'pressure': '958.5 hPa', 'vibrations': '2.227396494789322 m/s²'}",0
V00050826,A321_0473,2024-06-22,8.6,"{'temp': '-18.9°C', 'pressure': '989.4 hPa', 'vibrations': '2.0443627774336197 m/s²'}",1
V09291085,A321_3033,2024-06-22,4.2,"{'temp': '-6.8°C', 'pressure': '880.9 hPa', 'vibrations': '3.466324630351746 m/s²'}",0
V06489153,E175_6729,2024-06-22,7.2,"{'temp': '3.4°C', 'pressure': '988.5 hPa', 'vibrations': '4.930184441572201 m/s²'}",0
V06556149,E170_1145,2024-06-22,7.9,"{'temp': '-13.4°C', 'pressure': '909.2 hPa', 'vibrations': '4.336850378359779 m/s²'}",1
V01087060,CRJ700_4386,2024-06-22,7.8,"{'temp': '12.1°C', 'pressure': '1022.1 hPa', 'vibrations': '0.18281103862871573 m/s²'}",0
V00798626,E170_3393,2024-06-22,3.5,"{'temp': '-11.6°C', 'pressure': '920.3 hPa', 'vibrations': '4.150362931467292 m/s²'}",0
V02164241,B737_1936,2024-06-22,5.6,"{'temp': '3.2°C', 'pressure': '1020.3 hPa', 'vibrations': '4.419593942192635 m/s²'}",0
V03043847,A380_5199,2024-06-22,3.8,"{'temp': '-15.8°C', 'pressure': '917.1 hPa', 'vibrations': '4.859995934698881 m/s²'}",1
