ref_vol,aero_linked,jour_vol,time_en_air,sensor_data,etat_voyant
V06857324,CRJ700_1002,2024-07-17,3.6,"{'temp': '-8.3°C', 'pressure': '929.8 hPa', 'vibrations': '4.894846888193303 m/s²'}",0
V08721171,B767_4924,2024-07-17,6.0,"{'temp': '-5.9°C', 'pressure': '999.6 hPa', 'vibrations': '0.4746007060184809 m/s²'}",0
V07820649,A330_1199,2024-07-17,5.8,"{'temp': '-1.4°C', 'pressure': '945.6 hPa', 'vibrations': '4.545915370111219 m/s²'}",0
V03341837,CRJ900_4042,2024-07-17,2.9,"{'temp': '12.5°C', 'pressure': '941.0 hPa', 'vibrations': '2.2870820038351622 m/s²'}",0
V06922964,B747_2846,2024-07-17,3.1,"{'temp': '-8.5°C', 'pressure': '906.3 hPa', 'vibrations': '4.556174334945217 m/s²'}",0
V04335344,E170_6420,2024-07-17,4.4,"{'temp': '-1.4°C', 'pressure': '946.8 hPa', 'vibrations': '2.7829731133362867 m/s²'}",0
V09896571,B747_1988,2024-07-17,9.1,"{'temp': '9.9°C', 'pressure': '939.1 hPa', 'vibrations': '0.8253578868689054 m/s²'}",0
V09785938,A380_6924,2024-07-17,6.5,"{'temp': '5.3°C', 'pressure': '943.6 hPa', 'vibrations': '0.7279317965907167 m/s²'}",0
V07316281,B767_2315,2024-07-17,4.9,"{'temp': '-4.9°C', 'pressure': '1053.1 hPa', 'vibrations': '4.656136643416177 m/s²'}",0
V07701692,B747_3165,2024-07-17,5.4,"{'temp': '1.3°C', 'pressure': '927.0 hPa', 'vibrations': '0.3491831526862238 m/s²'}",0
V08524615,B747_4152,2024-07-17,6.5,"{'temp': '2.9°C', 'pressure': '1001.0 hPa', 'vibrations': '3.5739229577013 m/s²'}",0
V09174246,CRJ900_3374,2024-07-17,1.7,"{'temp': '7.6°C', 'pressure': '981.5 hPa', 'vibrations': '4.5284761979378745 m/s²'}",0
