ref_vol,aero_linked,jour_vol,time_en_air,sensor_data,etat_voyant
V07817537,B777_3944,2024-07-22,4.7,"{'temp': '4.1°C', 'pressure': '824.7 hPa', 'vibrations': '0.725682134423567 m/s²'}",0
V03921133,A340_3614,2024-07-22,7.2,"{'temp': '0.0°C', 'pressure': '881.3 hPa', 'vibrations': '3.468585900819342 m/s²'}",0
V05948117,A350_4039,2024-07-22,8.1,"{'temp': '-4.0°C', 'pressure': '1006.9 hPa', 'vibrations': '0.4880543719800762 m/s²'}",0
V08773477,CRJ900_4821,2024-07-22,4.4,"{'temp': '32.3°C', 'pressure': '971.1 hPa', 'vibrations': '3.2908037642804793 m/s²'}",1
V00374180,A320_6814,2024-07-22,2.5,"{'temp': '-1.7°C', 'pressure': '966.5 hPa', 'vibrations': '3.4623876564478855 m/s²'}",0
V04034267,E175_2805,2024-07-22,2.7,"{'temp': '3.8°C', 'pressure': '969.6 hPa', 'vibrations': '3.9960136643764232 m/s²'}",0
V06291810,A330_4046,2024-07-22,4.6,"{'temp': '19.7°C', 'pressure': '928.7 hPa', 'vibrations': '4.074827431128545 m/s²'}",0
V06285739,B777_5688,2024-07-22,5.2,"{'temp': '-23.6°C', 'pressure': '877.8 hPa', 'vibrations': '2.764852865410266 m/s²'}",1
V02989141,E175_0620,2024-07-22,0.8,"{'temp': '-14.5°C', 'pressure': '1033.3 hPa', 'vibrations': '0.12883342973589618 m/s²'}",1
V07326664,A350_6031,2024-07-22,5.2,"{'temp': '1.5°C', 'pressure': '965.6 hPa', 'vibrations': '3.87393125365739 m/s²'}",0
V08172790,B747_0442,2024-07-22,1.8,"{'temp': '21.1°C', 'pressure': '942.5 hPa', 'vibrations': '4.8059685612112215 m/s²'}",1
V06595162,A380_0594,2024-07-22,3.7,"{'temp': '-6.5°C', 'pressure': '911.0 hPa', 'vibrations': '0.8924460582530264 m/s²'}",0
V09715130,A340_2827,2024-07-22,5.9,"{'temp': '-4.0°C', 'pressure': '970.7 hPa', 'vibrations': '2.9748161873063173 m/s²'}",0
V07301449,A350_5987,2024-07-22,4.0,"{'temp': '-5.7°C', 'pressure': '926.4 hPa', 'vibrations': '3.5197066471427236 m/s²'}",0
V08201390,A380_2017,2024-07-22,3.4,"{'temp': '-13.2°C', 'pressure': '991.8 hPa', 'vibrations': '1.9639523439301514 m/s²'}",1
V02540546,E170_6353,2024-07-22,3.7,"{'temp': '-4.1°C', 'pressure': '948.8 hPa', 'vibrations': '0.42606737172421194 m/s²'}",0
V07451725,B737_2262,2024-07-22,4.0,"{'temp': '7.3°C', 'pressure': '879.4 hPa', 'vibrations': '4.430430929916902 m/s²'}",0
V04787625,B767_4924,2024-07-22,3.5,"{'temp': '-2.3°C', 'pressure': '987.6 hPa', 'vibrations': '3.4425052249660575 m/s²'}",0
V06095395,E175_6879,2024-07-22,0.9,"{'temp': '6.8°C', 'pressure': '992.3 hPa', 'vibrations': '2.6674412662777764 m/s²'}",0
V01690591,CRJ900_1740,2024-07-22,0.6,"{'temp': '-4.2°C', 'pressure': '942.4 hPa', 'vibrations': '1.8322398946999012 m/s²'}",0
V05480554,E170_4215,2024-07-22,6.7,"{'temp': '20.0°C', 'pressure': '933.6 hPa', 'vibrations': '0.4301070408275004 m/s²'}",0
V06651142,B777_0908,2024-07-22,5.5,"{'temp': '13.5°C', 'pressure': '950.6 hPa', 'vibrations': '2.5110026345950933 m/s²'}",0
V09079782,A350_4603,2024-07-22,3.3,"{'temp': '9.6°C', 'pressure': '923.2 hPa', 'vibrations': '2.33932389790749 m/s²'}",0
V01742645,B747_3165,2024-07-22,4.6,"{'temp': '13.9°C', 'pressure': '901.2 hPa', 'vibrations': '1.5238239385067183 m/s²'}",0
V05648597,B737_0616,2024-07-22,3.9,"{'temp': '-4.8°C', 'pressure': '1049.8 hPa', 'vibrations': '3.341270528337877 m/s²'}",0
V01685595,E175_3843,2024-07-22,1.1,"{'temp': '17.2°C', 'pressure': '1016.3 hPa', 'vibrations': '2.341197780171087 m/s²'}",0
V05343723,B777_4962,2024-07-22,6.8,"{'temp': '-1.3°C', 'pressure': '1033.6 hPa', 'vibrations': '1.5574375320364346 m/s²'}",0
V02132954,B747_4152,2024-07-22,3.0,"{'temp': '-1.1°C', 'pressure': '821.1 hPa', 'vibrations': '3.362780099853028 m/s²'}",0
V00271235,CRJ700_2863,2024-07-22,8.8,"{'temp': '7.3°C', 'pressure': '931.7 hPa', 'vibrations': '1.9386383635199722 m/s²'}",0
V07279709,A380_6907,2024-07-22,3.4,"{'temp': '-4.1°C', 'pressure': '941.1 hPa', 'vibrations': '2.7078424073908334 m/s²'}",0
V08817567,CRJ700_2189,2024-07-22,6.2,"{'temp': '-18.4°C', 'pressure': '992.0 hPa', 'vibrations': '3.5265072375176887 m/s²'}",1
V01793704,B747_4211,2024-07-22,3.4,"{'temp': '-8.5°C', 'pressure': '962.3 hPa', 'vibrations': '1.6600144496306057 m/s²'}",0
V06696471,B747_1988,2024-07-22,5.5,"{'temp': '-1.6°C', 'pressure': '872.6 hPa', 'vibrations': '1.0176878211580602 m/s²'}",0
V02533952,B767_0277,2024-07-22,0.7,"{'temp': '14.2°C', 'pressure': '999.1 hPa', 'vibrations': '1.540993672731818 m/s²'}",0
V02699755,A320_4367,2024-07-22,0.6,"{'temp': '3.6°C', 'pressure': '1012.4 hPa', 'vibrations': '0.04638658360504089 m/s²'}",0
V05475423,A350_2655,2024-07-22,0.6,"{'temp': '-16.0°C', 'pressure': '943.4 hPa', 'vibrations': '0.43172010801269034 m/s²'}",1
V06242992,E175_3327,2024-07-22,4.6,"{'temp': '9.0°C', 'pressure': '890.0 hPa', 'vibrations': '0.5567781042767134 m/s²'}",0
V00258735,E170_6420,2024-07-22,2.7,"{'temp': '-11.3°C', 'pressure': '867.2 hPa', 'vibrations': '0.8194744239468016 m/s²'}",0
V07068508,A320_3521,2024-07-22,5.5,"{'temp': '-0.7°C', 'pressure': '1017.5 hPa', 'vibrations': '3.389842009816192 m/s²'}",0
V03048705,B747_2389,2024-07-22,5.2,"{'temp': '17.7°C', 'pressure': '926.8 hPa', 'vibrations': '3.0525143043619636 m/s²'}",0
V07278193,A380_4294,2024-07-22,5.7,"{'temp': '13.9°C', 'pressure': '905.2 hPa', 'vibrations': '3.394589686266591 m/s²'}",0
V01859693,A340_3962,2024-07-22,7.7,"{'temp': '-0.2°C', 'pressure': '937.4 hPa', 'vibrations': '3.11799771721621 m/s²'}",0
V07597778,E170_3393,2024-07-22,1.3,"{'temp': '12.3°C', 'pressure': '874.4 hPa', 'vibrations': '4.62388427711679 m/s²'}",0
V04170672,A330_6708,2024-07-22,1.8,"{'temp': '23.6°C', 'pressure': '962.1 hPa', 'vibrations': '4.375889167742308 m/s²'}",1
V04916604,A330_6573,2024-07-22,3.4,"{'temp': '-3.2°C', 'pressure': '917.3 hPa', 'vibrations': '4.684015678498935 m/s²'}",0
V00825201,A380_3607,2024-07-22,6.9,"{'temp': '9.4°C', 'pressure': '973.2 hPa', 'vibrations': '1.21283553954596 m/s²'}",2
V00723661,B757_4595,2024-07-22,3.3,"{'temp': '5.5°C', 'pressure': '947.8 hPa', 'vibrations': '1.6677806516576232 m/s²'}",0
V08947059,B757_6092,2024-07-22,9.7,"{'temp': '-0.4°C', 'pressure': '911.6 hPa', 'vibrations': '4.591717043973878 m/s²'}",0
V07504186,E175_5414,2024-07-22,8.0,"{'temp': '-11.8°C', 'pressure': '864.3 hPa', 'vibrations': '4.588859680435422 m/s²'}",0
V02017987,B747_2724,2024-07-22,7.0,"{'temp': '-9.9°C', 'pressure': '896.5 hPa', 'vibrations': '0.5266634161309236 m/s²'}",0
V05645456,E170_2583,2024-07-22,5.9,"{'temp': '-12.4°C', 'pressure': '985.3 hPa', 'vibrations': '1.3857719223741005 m/s²'}",1
V06026418,A320_2497,2024-07-22,9.1,"{'temp': '15.7°C', 'pressure': '1003.4 hPa', 'vibrations': '1.1485837120861253 m/s²'}",0
V05040661,CRJ900_5500,2024-07-22,4.9,"{'temp': '14.3°C', 'pressure': '931.6 hPa', 'vibrations': '0.02563169173717239 m/s²'}",0
V04529700,A350_1889,2024-07-22,8.6,"{'temp': '-16.3°C', 'pressure': '999.7 hPa', 'vibrations': '0.17755500765081866 m/s²'}",1
V08002693,A340_3214,2024-07-22,6.7,"{'temp': '22.4°C', 'pressure': '916.4 hPa', 'vibrations': '0.05854508943277548 m/s²'}",1
V00085878,B737_5581,2024-07-22,8.2,"{'temp': '0.1°C', 'pressure': '876.0 hPa', 'vibrations': '1.0162012418693926 m/s²'}",0
V00722037,CRJ900_6738,2024-07-22,5.7,"{'temp': '-4.5°C', 'pressure': '940.7 hPa', 'vibrations': '0.8806911942906037 m/s²'}",0
V07748809,A350_6452,2024-07-22,6.1,"{'temp': '-6.6°C', 'pressure': '914.2 hPa', 'vibrations': '3.6343557591956044 m/s²'}",0
